parent	child
Ausland	Niederlande
Bibliothek  SUB
Botanischer Garten	Neuer Botanischer Garten
Currywurst  Vegane Currywurst
Impfung	Grippeimpfung
Impfung	Coronaimpfung
Langzeitkabine Kabine38
Lebensmittel	Einkaufen
Lebensmittel	Bäcker
Lebensmittel	Mate
Mobilität	Bahn
Museum	Escher Museum
Museum	Bauhaus Museum Weimar
Museum	Bauhaus Museum
Museum	Louvre
Museum	Mauritshuis
Niederlande	Den Haag
Nudeln  Vollkornnudeln
Nudeln  Tortiglioni
Orchester   AOV Orchester
Orchester   Göttinger Symphonieorchester
Pizza   Tiefkühlpizza
Salat	Ziegenkäsesalat
Salat	Tacco Salat
SUB Kabine38
Unterhaltung	Streaming
Zelda	Breath of the Wld
Zelda	Ocarina of Time
